Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-01-15 00:00:00-05:00,239.30999755859375,240.64999389648438,236.6300048828125,238.17999267578125,43003600,0.0,0.0
2026-01-16 00:00:00-05:00,239.08999633789062,239.57000732421875,236.41000366210938,239.1199951171875,45888300,0.0,0.0
2026-01-20 00:00:00-05:00,233.75999450683594,235.08999633789062,229.33999633789062,231.0,47737900,0.0,0.0
2026-01-21 00:00:00-05:00,231.08999633789062,232.3000030517578,226.8800048828125,231.30999755859375,47276100,0.0,0.0
2026-01-22 00:00:00-05:00,234.0500030517578,235.72000122070312,230.89999389648438,234.33999633789062,31913300,0.0,0.0
2026-01-23 00:00:00-05:00,234.9600067138672,240.4499969482422,234.57000732421875,239.16000366210938,33778500,0.0,0.0
2026-01-26 00:00:00-05:00,239.97999572753906,240.9499969482422,237.5399932861328,238.4199981689453,32825500,0.0,0.0
2026-01-27 00:00:00-05:00,239.69000244140625,244.8800048828125,238.0800018310547,244.67999267578125,38029200,0.0,0.0
2026-01-28 00:00:00-05:00,246.3699951171875,247.77999877929688,241.52999877929688,243.00999450683594,40882700,0.0,0.0
2026-01-29 00:00:00-05:00,242.82000732421875,243.0,236.74000549316406,241.72999572753906,47229600,0.0,0.0
2026-01-30 00:00:00-05:00,239.88999938964844,243.32000732421875,237.63999938964844,239.3000030517578,46585000,0.0,0.0
2026-02-02 00:00:00-05:00,238.30999755859375,245.6300048828125,238.1699981689453,242.9600067138672,37546100,0.0,0.0
2026-02-03 00:00:00-05:00,244.97999572753906,246.35000610351562,235.4499969482422,238.6199951171875,53831300,0.0,0.0
2026-02-04 00:00:00-05:00,238.86000061035156,238.86000061035156,231.82000732421875,232.99000549316406,51299900,0.0,0.0
2026-02-05 00:00:00-05:00,224.91000366210938,226.30999755859375,220.3800048828125,222.69000244140625,103509200,0.0,0.0
2026-02-06 00:00:00-05:00,202.6999969482422,211.44000244140625,200.30999755859375,210.32000732421875,179210900,0.0,0.0
2026-02-09 00:00:00-05:00,208.97000122070312,212.80999755859375,203.35000610351562,208.72000122070312,91178400,0.0,0.0
2026-02-10 00:00:00-05:00,208.8000030517578,212.64999389648438,206.41000366210938,206.9600067138672,67175000,0.0,0.0
2026-02-11 00:00:00-05:00,208.05999755859375,208.57000732421875,202.49000549316406,204.0800018310547,65545500,0.0,0.0
2026-02-12 00:00:00-05:00,203.9600067138672,203.9600067138672,197.55999755859375,199.60000610351562,83975400,0.0,0.0
2026-02-13 00:00:00-05:00,198.8800048828125,201.16000366210938,197.27999877929688,198.7899932861328,66321600,0.0,0.0
2026-02-17 00:00:00-05:00,198.1300048828125,201.74000549316406,196.0,201.14999389648438,69879200,0.0,0.0
2026-02-18 00:00:00-05:00,202.07000732421875,206.86000061035156,201.50999450683594,204.7899932861328,51003300,0.0,0.0
2026-02-19 00:00:00-05:00,203.8000030517578,205.63999938964844,202.80999755859375,204.86000061035156,35669600,0.0,0.0
2026-02-20 00:00:00-05:00,204.75999450683594,211.1699981689453,203.75,210.11000061035156,65881600,0.0,0.0
2026-02-23 00:00:00-05:00,208.10000610351562,208.42999267578125,203.11000061035156,205.27000427246094,53581500,0.0,0.0
2026-02-24 00:00:00-05:00,205.47000122070312,210.36000061035156,203.25,208.55999755859375,41137200,0.0,0.0
2026-02-25 00:00:00-05:00,210.4600067138672,211.58999633789062,208.92999267578125,210.63999938964844,41346400,0.0,0.0
2026-02-26 00:00:00-05:00,210.72999572753906,211.0500030517578,205.35000610351562,207.9199981689453,47756800,0.0,0.0
2026-02-27 00:00:00-05:00,206.8300018310547,210.3300018310547,205.1999969482422,210.0,57230900,0.0,0.0
